TransactionID,CustomerID,FirstName,LastName,Gender,HomeCity,HomeCountry,TransactionLocationCity,TransactionLocationCountry,LoginLocationCity,LoginLocationCountry,DateTime,Type,Amount,Currency,Merchant,Category,Description,IsByCheck,AccountNumber,SWIFT_BIC,ReceiverAccount,ReceiverSWIFT,BalanceAfter,AvgDailyBalance,Legitimate,FraudReason
TXN000001,CUST0001,Samuel,Anderson,Male,Austin,UK,Austin,UK,Austin,UK,1/1/2023 0:00,Debit,120.38,USD,Shell,Fuel,Debit Online at Shell,0,9.90253E+11,1FPKH1DN,,,13814.62,14579,1,
TXN000002,CUST0001,Samuel,Anderson,Male,Austin,UK,Los Angeles,AUS,Austin,UK,1/1/2023 4:05,Credit,1148.95,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,7.81305E+11,UZBIKCIDKWN,,,14963.57,14579,0,New country & high-value first-time spend.
TXN000003,CUST0149,Rebecca,George,Female,Nathanmouth,KR,Lake Justinborough,PL,Smithville,KR,1/1/2023 8:10,Debit,3177.99,USD,Chase,Banking,Debit Online at Chase,0,3.66088E+11,nYWpJwSQ,,,2296.2,1915.13,0,New country & high-value transaction
TXN000004,CUST0048,Kayla,Huang,Female,North Thomasland,BB,Barbaratown,VU,North Thomasland,BB,1/1/2023 12:15,Debit,1202.57,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,1,6.2427E+11,FNVJlhAG,,,5209.84,6183.95,0,Transaction from blacklisted merchant
TXN000005,CUST0193,Emily,Vega,Female,East Margaret,MR,Lake Debraburgh,SR,East Margaret,BI,1/1/2023 16:20,Credit,4863.25,USD,Apple,Electronics,Credit Online at Apple,1,1.23421E+11,sVkojlXt,84275624135,OgWTBWbn,12230.85,12673.24,0,New country & high-value transaction
TXN000006,CUST0038,Valerie,Hanson,Female,Noahville,CI,Port Amy,PG,South Jenniferfurt,MA,1/1/2023 20:25,Debit,1837.62,USD,Hilton,Hotel,Debit Online at Hilton,1,2.73245E+11,iRhNcSwM,,,12191.85,11257.38,0,Suspicious login location
TXN000007,CUST0095,Alyssa,Anthony,Female,South Kyle,BB,North Jeffrey,SO,Adamsville,ZA,1/2/2023 0:30,Debit,4681.11,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,0,6.70473E+11,HEKEgpzX,,,7124.23,6754.18,0,New country & high-value transaction
TXN000008,CUST0169,Dennis,Bailey,Male,Ruizton,SR,Port Brandi,SR,Ruizton,ZA,1/2/2023 4:35,Debit,1110.47,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,5.97138E+11,wRPJbute,,,9260.18,9962.67,1,
TXN000009,CUST0102,Keith,Carter,Male,Mosshaven,ID,West Sharon,PG,Mosshaven,NE,1/2/2023 8:40,Debit,1520.78,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,8.57712E+11,GIoDKVWc,,,16317.74,16606.49,1,
TXN000010,CUST0086,Eric,Jackson,Male,South Justinfurt,NG,Kimberlyside,HR,Lake Kimberly,CU,1/2/2023 12:45,Credit,4277.29,USD,Shell,Fuel,Credit Online at Shell,0,3.91615E+11,FYOuqGah,54721257936,IQbEADvn,14351.81,14170.96,0,New country & high-value transaction
TXN000011,CUST0116,Daniel,Boyd,Male,East Patriciaborough,MG,Christophershire,JM,North Gregory,AG,1/2/2023 16:50,Debit,4563.65,USD,Hilton,Hotel,Debit Online at Hilton,0,5.73058E+11,mXIoLFdz,,,11277.86,10814.58,0,New country & high-value transaction
TXN000012,CUST0091,Kayla,Martinez,Female,Schwartzshire,NO,South Michael,ID,Juliehaven,NO,1/2/2023 20:55,Credit,1700.48,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,5.78116E+11,kkokYvVR,71353022069,IAyGrcgB,10083.02,10275.52,0,Transaction from blacklisted merchant
TXN000013,CUST0139,Antonio,Guerrero,Male,New Adrienneburgh,FJ,Anthonyport,KG,North Crystalmouth,FJ,1/3/2023 1:00,Debit,2813.37,USD,Chase,Banking,Debit Online at Chase,1,8.96999E+11,ojqmbfKW,,,3731.33,3990.8,0,New country & high-value transaction
TXN000014,CUST0114,Paul,Smith,Male,Port Katherineborough,BO,Jennifertown,NP,Davidland,BO,1/3/2023 5:05,Debit,231.45,USD,Shell,Fuel,Debit Online at Shell,1,3.41803E+11,xtOfmPpY,,,16462.83,15995.66,0,Transaction at unusual hour
