statement_id,customer_name,account_number,bank_name,statement_start_date,statement_end_date,opening_balance,ending_balance,total_credits,total_debits,transaction_id,transaction_date,transaction_description,merchant_name,category,amount,balance_after,is_credit,is_debit,abs_amount,is_large_transaction,amount_to_balance_ratio,transactions_past_1_day,transactions_past_7_days,cumulative_monthly_credits,cumulative_monthly_debits,is_new_merchant,weekday,day_of_month,is_weekend,is_fraud
S247,Sarah Lee,5292,Bank of America,2024-01-01,2024-01-31,1980.28,1049.44,1126.64,2057.48,TX1,2024-01-13,coffee transaction,Starbucks,coffee,25.96,781.41,1,0,25.96,0,0.0332,4,7,7358.52,6834.54,1,3,13,0,1
S120,Sarah Lee,9212,Chase,2024-01-01,2024-01-31,4929.26,3035.65,929.27,2822.88,TX2,2024-01-23,atm transaction,ATM,atm,-252.07,3507.88,0,1,252.07,0,0.0719,1,3,6001.34,2710.61,0,0,23,0,1
S286,Mark Rivera,9290,Bank of America,2024-01-01,2024-01-31,4737.41,606.11,1776.17,5907.47,TX3,2024-01-01,salary transaction,Employer,salary,3191.72,324.97,1,0,3191.72,1,9.8216,2,2,1076.66,5808.65,0,6,1,1,1
S147,Vikram Rao,1028,Wells Fargo,2024-01-01,2024-01-31,5183.07,5329.72,2447.05,2300.4,TX4,2024-01-28,internet transaction,Comcast,internet,-769.44,5907.53,0,1,769.44,1,0.1302,0,1,916.13,658.93,0,0,28,0,1
S250,Mark Rivera,1829,Capital One,2024-01-01,2024-01-31,7249.8,5129.03,4695.56,6816.33,TX5,2024-01-27,shopping transaction,Amazon,shopping,-396.2,5188.2,0,1,396.2,0,0.0764,4,6,7781.11,6144.07,0,2,27,0,0
S219,Emily Davis,9336,Chase,2024-01-01,2024-01-31,6447.86,4679.65,1166.56,2934.77,TX6,2024-01-12,internet transaction,Comcast,internet,-563.76,5172.7,0,1,563.76,0,0.109,4,10,5594.86,5903.7,1,4,12,0,1
S112,Sarah Lee,2607,Wells Fargo,2024-01-01,2024-01-31,4440.9,6229.55,6557.48,4768.83,TX7,2024-01-18,internet transaction,Comcast,internet,271.31,6125.45,1,0,271.31,0,0.0443,2,2,558.04,667.81,1,1,18,0,1
S113,Mark Rivera,8744,Chase,2024-01-01,2024-01-31,6919.07,10349.37,4679.55,1249.25,TX8,2024-01-15,gas transaction,Shell,gas,-288.73,10247.19,0,1,288.73,0,0.0282,2,3,1986.77,3590.94,0,5,15,1,1
S161,John Carter,4850,Wells Fargo,2024-01-01,2024-01-31,3007.51,-1889.32,1528.41,6425.24,TX9,2024-01-07,utilities transaction,Electric Co,utilities,-61.08,-1621.43,0,1,61.08,0,0.0377,1,7,2365.08,884.42,1,4,7,0,1
S117,Priya Sharma,2802,Chase,2024-01-01,2024-01-31,559.42,4075.0,4855.93,1340.35,TX10,2024-01-24,shopping transaction,Target,shopping,12.17,3910.88,1,0,12.17,0,0.0031,4,8,4833.93,6029.44,1,5,24,1,1
S289,Vikram Rao,3250,Chase,2024-01-01,2024-01-31,1130.2,3079.65,7921.66,5972.21,TX11,2024-01-01,salary transaction,Employer,salary,1824.15,2754.53,1,0,1824.15,1,0.6622,1,1,4129.05,6095.17,1,0,1,0,1
S128,Mark Rivera,6135,Bank of America,2024-01-01,2024-01-31,3552.6,6619.06,3534.95,468.49,TX12,2024-01-27,shopping transaction,Target,shopping,199.67,6907.93,1,0,199.67,0,0.0289,4,7,7318.32,3541.85,0,5,27,1,0
S236,Mark Rivera,5027,Bank of America,2024-01-01,2024-01-31,6581.44,7079.15,5193.96,4696.25,TX13,2024-01-05,utilities transaction,Electric Co,utilities,261.34,6986.0,1,0,261.34,0,0.0374,3,6,2990.98,5179.43,1,3,5,0,1
S284,Vikram Rao,1670,Bank of America,2024-01-01,2024-01-31,2479.1,3608.76,6225.86,5096.2,TX14,2024-01-11,internet transaction,Comcast,internet,-39.04,4336.72,0,1,39.04,0,0.009,0,1,6575.54,3133.71,0,3,11,0,0
S194,Priya Sharma,9906,Bank of America,2024-01-01,2024-01-31,721.46,2660.09,7000.62,5061.99,TX15,2024-01-07,shopping transaction,Amazon,shopping,-103.63,2148.6,0,1,103.63,0,0.0482,2,3,4005.87,996.74,0,1,7,0,1
S249,John Carter,8668,Bank of America,2024-01-01,2024-01-31,3637.74,7004.43,4804.27,1437.58,TX16,2024-01-15,groceries transaction,Grocery Mart,groceries,8.63,6354.47,1,0,8.63,0,0.0014,1,2,1426.92,7360.71,1,1,15,0,0
S224,Mark Rivera,5138,Chase,2024-01-01,2024-01-31,4335.28,1979.7,2345.38,4700.96,TX17,2024-01-25,internet transaction,Comcast,internet,-500.05,1978.63,0,1,500.05,0,0.2527,1,5,7482.82,4644.16,0,4,25,0,1
S158,Vikram Rao,3574,Chase,2024-01-01,2024-01-31,6169.86,6679.51,2261.4,1751.75,TX18,2024-01-21,salary transaction,Employer,salary,3789.0,7115.72,1,0,3789.0,1,0.5325,2,4,5390.28,3654.47,0,2,21,0,0
S147,Vikram Rao,1136,Bank of America,2024-01-01,2024-01-31,6869.72,2464.41,820.73,5226.04,TX19,2024-01-01,groceries transaction,Grocery Mart,groceries,-429.81,2443.21,0,1,429.81,0,0.1759,1,4,5662.31,5024.03,1,0,1,0,1
S224,Emily Davis,6608,Bank of America,2024-01-01,2024-01-31,4376.84,8144.74,4685.26,917.36,TX20,2024-01-19,coffee transaction,Starbucks,coffee,-124.99,8218.27,0,1,124.99,0,0.0152,0,0,3916.71,4978.9,0,0,19,0,1
S103,Vikram Rao,2452,Citi,2024-01-01,2024-01-31,2641.54,1940.09,3132.36,3833.81,TX21,2024-01-24,shopping transaction,Target,shopping,-361.36,2434.85,0,1,361.36,0,0.1484,2,2,607.44,5965.9,0,1,24,0,0
S291,Alice Johnson,2781,Wells Fargo,2024-01-01,2024-01-31,1461.75,937.7,4972.83,5496.88,TX22,2024-01-14,internet transaction,Comcast,internet,-424.36,658.31,0,1,424.36,0,0.6446,4,5,4635.01,6346.34,1,3,14,0,1
S258,John Carter,3853,Bank of America,2024-01-01,2024-01-31,6003.82,7419.78,2488.36,1072.4,TX23,2024-01-26,salary transaction,Employer,salary,1800.99,6647.63,1,0,1800.99,1,0.2709,4,5,5109.32,5756.46,0,6,26,1,0
S127,Priya Sharma,3625,Wells Fargo,2024-01-01,2024-01-31,5135.89,929.72,1774.32,5980.49,TX24,2024-01-10,shopping transaction,Target,shopping,-538.89,754.09,0,1,538.89,0,0.7146,4,4,7358.05,4060.13,0,3,10,0,1
S112,Mark Rivera,1012,Chase,2024-01-01,2024-01-31,3511.63,3265.14,5211.33,5457.82,TX25,2024-01-28,shopping transaction,Amazon,shopping,-493.4,2654.45,0,1,493.4,0,0.1859,0,3,7816.57,3646.65,1,1,28,0,1
S134,Mark Rivera,2967,Wells Fargo,2024-01-01,2024-01-31,4371.95,5580.23,7625.06,6416.78,TX26,2024-01-12,internet transaction,Comcast,internet,189.35,5359.64,1,0,189.35,0,0.0353,1,1,3333.18,2426.4,1,1,12,0,1
S298,Emily Davis,5954,Capital One,2024-01-01,2024-01-31,4809.0,6076.41,5212.71,3945.3,TX27,2024-01-09,atm transaction,ATM,atm,76.96,6654.67,1,0,76.96,0,0.0116,4,5,1775.79,595.07,1,5,9,1,1
S287,Sarah Lee,8408,Chase,2024-01-01,2024-01-31,5549.21,7948.82,2726.54,326.93,TX28,2024-01-04,salary transaction,Employer,salary,3760.41,8739.85,1,0,3760.41,1,0.4303,2,5,2448.42,1865.19,0,0,4,0,1
