transaction_id,customer_id,first_name,last_name,gender,home_city,home_country,transaction_city,transaction_country,login_city,login_country,timestamp,transaction_type,amount,currency,merchant,category,description,is_by_check,account_number,swift_bic,receiveraccount,receiverswift,balanceafter,avgdailybalance,legitimate,fraudreason,is_fraud,added_at
TXN000001,CUST0001,Samuel,Anderson,Male,Austin,UK,Austin,UK,Austin,UK,2023-01-01 00:00:00,Debit,120.38,USD,Shell,Fuel,Debit Online at Shell,0,990253000000.0,1FPKH1DN,,,13814.62,14579.0,1,,1,2025-12-04T14:55:07.833306
TXN000002,CUST0001,Samuel,Anderson,Male,Austin,UK,Los Angeles,AUS,Austin,UK,2023-01-01 04:05:00,Credit,1148.95,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,781305000000.0,UZBIKCIDKWN,,,14963.57,14579.0,0,New country & high-value first-time spend.,0,2025-12-04T14:55:07.833306
TXN000003,CUST0149,Rebecca,George,Female,Nathanmouth,KR,Lake Justinborough,PL,Smithville,KR,2023-01-01 08:10:00,Debit,3177.99,USD,Chase,Banking,Debit Online at Chase,0,366088000000.0,nYWpJwSQ,,,2296.2,1915.13,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000004,CUST0048,Kayla,Huang,Female,North Thomasland,BB,Barbaratown,VU,North Thomasland,BB,2023-01-01 12:15:00,Debit,1202.57,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,1,624270000000.0,FNVJlhAG,,,5209.84,6183.95,0,Transaction from blacklisted merchant,0,2025-12-04T14:55:07.833306
TXN000005,CUST0193,Emily,Vega,Female,East Margaret,MR,Lake Debraburgh,SR,East Margaret,BI,2023-01-01 16:20:00,Credit,4863.25,USD,Apple,Electronics,Credit Online at Apple,1,123421000000.0,sVkojlXt,84275624135.0,OgWTBWbn,12230.85,12673.24,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000006,CUST0038,Valerie,Hanson,Female,Noahville,CI,Port Amy,PG,South Jenniferfurt,MA,2023-01-01 20:25:00,Debit,1837.62,USD,Hilton,Hotel,Debit Online at Hilton,1,273245000000.0,iRhNcSwM,,,12191.85,11257.38,0,Suspicious login location,0,2025-12-04T14:55:07.833306
TXN000007,CUST0095,Alyssa,Anthony,Female,South Kyle,BB,North Jeffrey,SO,Adamsville,ZA,2023-01-02 00:30:00,Debit,4681.11,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,0,670473000000.0,HEKEgpzX,,,7124.23,6754.18,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000008,CUST0169,Dennis,Bailey,Male,Ruizton,SR,Port Brandi,SR,Ruizton,ZA,2023-01-02 04:35:00,Debit,1110.47,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,597138000000.0,wRPJbute,,,9260.18,9962.67,1,,0,2025-12-04T14:55:07.833306
TXN000009,CUST0102,Keith,Carter,Male,Mosshaven,ID,West Sharon,PG,Mosshaven,NE,2023-01-02 08:40:00,Debit,1520.78,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,857712000000.0,GIoDKVWc,,,16317.74,16606.49,1,,0,2025-12-04T14:55:07.833306
TXN000010,CUST0086,Eric,Jackson,Male,South Justinfurt,NG,Kimberlyside,HR,Lake Kimberly,CU,2023-01-02 12:45:00,Credit,4277.29,USD,Shell,Fuel,Credit Online at Shell,0,391615000000.0,FYOuqGah,54721257936.0,IQbEADvn,14351.81,14170.96,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000011,CUST0116,Daniel,Boyd,Male,East Patriciaborough,MG,Christophershire,JM,North Gregory,AG,2023-01-02 16:50:00,Debit,4563.65,USD,Hilton,Hotel,Debit Online at Hilton,0,573058000000.0,mXIoLFdz,,,11277.86,10814.58,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000012,CUST0091,Kayla,Martinez,Female,Schwartzshire,NO,South Michael,ID,Juliehaven,NO,2023-01-02 20:55:00,Credit,1700.48,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,578116000000.0,kkokYvVR,71353022069.0,IAyGrcgB,10083.02,10275.52,0,Transaction from blacklisted merchant,0,2025-12-04T14:55:07.833306
TXN000013,CUST0139,Antonio,Guerrero,Male,New Adrienneburgh,FJ,Anthonyport,KG,North Crystalmouth,FJ,2023-01-03 01:00:00,Debit,2813.37,USD,Chase,Banking,Debit Online at Chase,1,896999000000.0,ojqmbfKW,,,3731.33,3990.8,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000014,CUST0114,Paul,Smith,Male,Port Katherineborough,BO,Jennifertown,NP,Davidland,BO,2023-01-03 05:05:00,Debit,231.45,USD,Shell,Fuel,Debit Online at Shell,1,341803000000.0,xtOfmPpY,,,16462.83,15995.66,0,Transaction at unusual hour,0,2025-12-04T14:55:07.833306
TXN000015,CUST0081,Micheal,Dodson,Male,Vegabury,LR,Jonesbury,SM,Vegabury,KR,2023-01-03 09:10:00,Debit,2675.61,USD,Hilton,Hotel,Debit Online at Hilton,0,461240000000.0,yZbScwkL,,,10535.83,10482.87,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000016,CUST0156,Jacob,Greer,Male,North Abigailton,ME,Lake Leslieborough,TD,North Abigailton,ME,2023-01-03 13:15:00,Credit,1207.59,USD,Hilton,Hotel,Credit Online at Hilton,0,489412000000.0,QQHLjhml,18738041497.0,vZlZPAPx,3346.0,4288.22,1,,0,2025-12-04T14:55:07.833306
TXN000017,CUST0071,Sarah,Banks,Female,East Teresa,CR,South Danielle,GB,West Brian,CR,2023-01-03 17:20:00,Debit,80.46,USD,Hilton,Hotel,Debit Online at Hilton,0,855204000000.0,HirppBUo,,,7332.02,7363.18,1,,0,2025-12-04T14:55:07.833306
TXN000018,CUST0145,Thomas,Ellison,Male,Port Christian,GW,West Calvin,BA,Robertsmouth,SG,2023-01-03 21:25:00,Debit,2086.22,USD,Shell,Fuel,Debit Online at Shell,0,814099000000.0,OuzKekAo,,,12607.63,13092.38,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000019,CUST0137,Joshua,Miller,Male,East Christopher,BZ,East Matthewton,MW,Wilsonville,AL,2023-01-04 01:30:00,Credit,4930.73,USD,Apple,Electronics,Credit Online at Apple,1,162228000000.0,xGHHwlcp,85124891784.0,WAXMVewh,7050.49,6272.77,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000020,CUST0153,Joshua,Smith,Male,Smithburgh,GB,Larrybury,PL,Smithburgh,TH,2023-01-04 05:35:00,Credit,2655.3,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,869063000000.0,DMxCWngk,80570523672.0,YALulmuP,8150.67,9009.91,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000021,CUST0122,Ashley,Robertson,Female,Ericburgh,VA,Martinshire,GW,New Jacob,AF,2023-01-04 09:40:00,Debit,542.3,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,538752000000.0,iJSSPldJ,,,6982.86,6346.58,1,,0,2025-12-04T14:55:07.833306
TXN000022,CUST0172,Bradley,Cross,Male,Phamburgh,MT,Pamelahaven,CU,Port Oliviaborough,MT,2023-01-04 13:45:00,Debit,4412.6,USD,Uber,Transport,Debit Online at Uber,0,512498000000.0,htMZZLmM,,,12128.3,11829.89,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000023,CUST0010,Mark,James,Male,South Kathryn,PH,North Tonyaside,FM,Port Lisatown,KG,2023-01-04 17:50:00,Debit,2230.06,USD,Amazon,E-commerce,Debit Online at Amazon,1,158218000000.0,qHEbmWbD,,,1587.87,1049.76,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
